FrageNr.	ThNr.	Sachgebiet	Klasse	BildNr.	ZusFr.	Frage	AKZ1	Antwort1	AKZ2	Antwort2	AKZ3	Antwort3	AKZ4	Antwort4
482	13	3b Kriminalität und Schleusung Illegaler	C1.C1E.C.CE / D1.D1E.D.DE			Was sollte bei der Ausreisekontrolle vom Festland (z. B. in Frankreich) in Richtung Großbritannien vom Fahrer immer beantragt werden, um einer Schleusung illegaler Einwanderer vorzubeugen?	X	Eine behördliche Kontrolle des Laderaums mit Hilfe von Atemluft-Messgeräten		Es soll immer ein Spürhund angefordert werden		Eine behördliche Kontrolle des Laderaums mit Hilfe eines Scanners		Eine behördliche Kontrolle des Laderaums mit Hilfe von Wärmebild-Kameras
483	13	3b Kriminalität und Schleusung Illegaler	C1.C1E.C.CE / D1.D1E.D.DE			Ein Autostopper bittet Sie, mitgenommen zu werden. Wie sollten Sie sich verhalten, um einer Schleusung illegaler Einwanderer vorzubeugen?	X	Ich überzeuge mich, ob er für den Aufenthalt in Österreich ein gültiges Ausweisdokument mit sich führt und nehme ihn im Zweifelsfall nicht mit		Ich darf ihn auf jeden Fall mitnehmen, wenn er Gepäckstücke mit sich führt		Ich darf ihn auf jeden Fall mitnehmen, wenn er ausreichend deutsch spricht		Ich darf ihn auf jeden Fall mitnehmen, wenn er über ausreichende Geldmittel verfügt
484	13	3b Kriminalität und Schleusung Illegaler	C1.C1E.C.CE / D1.D1E.D.DE			Ein Autostopper bittet Sie, mitgenommen zu werden. Welche Dokumente sollten Sie sich von ihm zeigen lassen, damit Sie der Schleusung illegaler Einwanderer vorbeugen?	X	Einen Reisepass oder Personalausweis eines EU- oder EWR-Staates oder eine österreichische Aufenthaltskarte oder einen österreichischen Identitätsausweis		Einen Reisepass irgend eines Staates		Einen internationalen Führerschein		Einen nationalen Führerschein
485	13	3b Kriminalität und Schleusung Illegaler	C1.C1E.C.CE / D1.D1E.D.DE			Sie führen bei einer Tankstelle einen Tankvorgang durch. Wie sollten Sie sich dabei verhalten, um der Schleusung illegaler Einwanderer vorzubeugen?		Ich lasse den Motor laufen, schließe aber die Türe des Fahrerhauses	X	Ich schließe die Fahrzeugtüren bzw. Behälter und Ausrüstungskisten ab und kontrolliere vor der Weiterfahrt, ob sich jemand in Hohlräumen des Fahrzeuges versteckt hat		Solang ich das Fahrzeug im Blick habe, kann ich ohne weiteres auf das Absperren des Fahrzeuges verzichten		Ich stelle den Motor ab, lasse aber die Türe des Fahrerhauses geöffnet
511	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Wodurch können Sie die Funktionsfähigkeit Ihrer Stützmuskulatur (z.B. der Rückenmuskulatur) erhalten?	X	Durch gezielte gymnastische Übungen		Durch viel sitzen und liegen		Durch eine vorgebeugte Haltung während der Fahrt		Durch eine rückwärtsgebeugte Haltung während der Fahrt
512	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Wie beladen Sie Ihr Fahrzeug möglichst ergonomisch bzw. gesundheitsschonend?		Ich trage auf einmal so viel Gewicht, wie ich gerade noch heben kann	X	Ich gehe beim Heben von Lasten in die Knie und halten den Rücken gerade und nutze möglichst Ladehilfen		Ich trage Lasten möglichst mit ausgestreckten Armen		Ich trage Lasten möglichst hinter dem Rücken
513	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Wo treten die größten körperlichen Belastungen auf, wenn Sie Lasten falsch heben?	X	Im Lendenwirbelbereich		Am Schienbein		In den Kniegelenken		An den Halswirbeln
514	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Wie hebt man eine Last richtig?		Man beugt sich im Lendenwirbelbereich vor und hebt die Last mit möglichst gestreckten Beinen		Man hält die Last möglichst weit vom Körper entfernt	X	Man geht nach unten in die Hocke mit aufrechtem Rücken und gebeugten Knien. Die Gewichte sollen nahe am Körper gehalten werden. Die Last soll zügig und gleichmäßig angehoben werden		Zuerst kniet man sich nieder, nimmt die Last in die Hände und steht danach auf
515	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Bei langen Fahrzeiten ohne Flüssigkeitszufuhr und mit starrer Beinhaltung besteht die Gefahr...		eines Herzinfarktes		eines Schlaganfalles		eines Nierenversagens	X	eines Blutgerinnsels in den Beinvenen
516	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Andauernde, laute Radiomusik beim Lenken eines Fahrzeuges...		fördert die Konzentrationsfähigkeit		fördert die Durchblutung des Gehirns		trainiert und verbessert die Hörfähigkeit	X	vermindert die Konzentrationsfähigkeit
517	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Beim Lenken eines Fahrzeuges soll ich...		meine Sitzhaltung und Sitzposition möglichst nicht verändern und starr sitzen bleiben	X	meine Sitzhaltung und Sitzposition möglichst häufig verändern z.B. leicht nach vorn beugen, zurücklehnen		die Beine immer gestreckt halten und möglichst gar nicht beugen		die Beine immer gebeugt halten und gar nicht strecken
518	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Bei durchgetretenem Brems- oder Kupplungspedal...		sollen die Beine möglichst völlig gestreckt sein		sollen die Beine möglichst stark gebeugt sein	X	sollen die Beine leicht angewinkelt sein		ist die Stellung der Beine egal
519	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Wirbelsäulenerkrankungen und Rückenschmerzen...		entstehen nur beim Tragen von zu schweren Lasten	X	kommen bei Berufskraftfahrern häufig vor		kommen bei Berufskraftfahrern seltener vor als bei Gelegenheitsfahrern		entstehen nur beim Heben von zu schweren Lasten
520	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Was führt zu verbessertem Schlafverhalten?	X	Wenn ich vor dem Schlafengehen Entspannungstechniken anwende		Wenn ich vor dem Schlafengehen übermäßig fettreiche Mahlzeiten konsumiere		Wenn ich immer einen Mittagsschlaf halte		Wenn ich vor dem Schlafengehen übermäßig Alkohol konsumiere
521	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Wodurch kann die Widerstandsfähigkeit gegen Stress erhöht werden?		Durch möglichst seltenes Ausüben von Sport	X	Durch regelmäßiges Mentaltraining		Durch regelmäßigen Konsum von Alkohol		Durch wenig Schlaf
522	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Welche Flüssigkeiten und in welchen Mengen sollten Sie täglich trinken?	X	Wasser oder ungezuckerten Kräuter- oder Früchtetee (2 - 3 Liter)		Energy Drinks (2 Dosen)		Bier (1 Liter)		Mit Wasser verdünnten Wein (0,75 Liter)
523	14	3c Gesundheitsvorsorge	C1.C1E.C.CE / D1.D1E.D.DE			Eine gute körperliche Kondition…	X	steigert die geistige Leistungsfähigkeit und Konzentrationsfähigkeit beim Autofahren		hat keine Auswirkungen auf die geistige Leistungsfähigkeit und Konzentrationsfähigkeit		vermindert die geistige Leistungsfähigkeit und Konzentrationsfähigkeit		erhält man automatisch beim langen Autofahren
541	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Die Tageszeit beeinflusst die Leistungsfähigkeit eines Menschen. Wann ist die Leistungsfähigkeit normalerweise am geringsten?		Zwischen 12 und 14 Uhr	X	Zwischen 2 und 4 Uhr		Zwischen 8 und 10 Uhr		Zwischen 17 und 19 Uhr
542	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Wie kann vorzeitiger Ermüdung und herabgesetzter Aufmerksamkeit vorgebeugt werden?	X	Durch günstige Ernährung (fettarm, keine Süßigkeiten) und ausreichende Trinkmenge		Durch möglichst langes Fahren ohne Pausen		Durch hohes Schlafdefizit		Sehr hohe warme Umgebungstemperatur im Fahrzeug
543	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Welche Auswirkungen auf die kraftfahrspezifische Leistungsfähigkeit hat der Konsum von Alkohol?		Deutliche Leistungssteigerung	X	Verlängerung der Reaktionszeit		Verbesserung der manuellen Geschicklichkeit		Verbesserung der Konzentration
544	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Trifft diese Aussage zu: "Beim Lenken eines Nutzfahrzeuges kann die Herzfrequenz auf 140-160 Schläge pro Minute steigen."		Nein, die Herzfrequenz hat mit dem Lenken eines Nutzfahrzeuges nichts zu tun		Nein, das ist viel zu hoch. Sie bewegt sich höchstens im Bereich zwischen 60-80 Schläge in der Minute in Stresssituationen		Nein, diese Aussage ist auch für Gefahrensituationen nicht richtig	X	Ja, diese Aussage ist richtig und darüber hinaus führt eine ständig zu hohe Herzfrequenz zu psychischem Stress und kann krank machen
545	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Wie hoch ist die durchschnittliche Herzfrequenz eines Menschen im Ruhezustand?		100 -120 Schläge in der Minute		180 - 200 Schläge in der Minute	X	60 - 80 Schläge in der Minute		Über 200 Schläge in der Minute
546	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Durch welches Essverhalten können Sie Ihre Leistungs- bzw. Konzentrationsfähigkeit positiv beeinflussen?		Ich esse in meiner Mittagspause drei Leberkäsesemmeln		Ich esse in jeder Pause möglichst viel	X	Ich esse mehrere kleine, kohlehydratreiche, fettarme Mahlzeiten über den Tag verteilt		Ich esse nur einmal täglich, dafür jedoch eine vitaminreiche Mahlzeit
547	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Sie haben noch 300 km zu fahren und bemerken, dass Sie müde werden. Was sollten Sie tun?		Ich trinke einen Energy-Drink zum Aufputschen	X	Ich lege eine ausreichende Erholungspause ein und betätige mich dabei körperlich		Ich fahre weiter und hoffe darauf, dass sich meine Müdigkeit nicht so verstärkt, dass ich fahruntüchtig werde		Ich trinke einen Kaffee zum Aufputschen
548	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Sie stehen beim Fahren im dichten Stadtverkehr unter Zeitdruck. Was sollten Sie tun?		Ich fahre möglichst schnell und nütze dabei jede Gelegenheit zum Spurwechsel		Ich überschreite die vorgeschriebenen Geschwindigkeitsbeschränkungen so weit, dass kein Führerscheinentzug droht		Ich mache die verlorene Zeit wieder gut, indem ich zu den vor mir fahrenden Fahrzeugen knapper auffahre	X	Ich mache mir bewusst, dass schnelleres Fahren im Stadtverkehr meist nichts bringt und fahre normal weiter
549	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren mit einem Nutzfahrzeug und werden bei einer Fahrpause auf einen halben Liter Bier eingeladen. Wie verhalten Sie sich?		Ich trinke aus Kollegialität ein Bier mit, aber sicherlich kein Zweites	X	Ich lehne strikt ab, weil schon kleine Alkoholmengen beeinträchtigen können		Ich trinke ein Bier mit und nur wenn ich mich fit fühle, fahre ich weiter		Ich trinke ein Bier mit, weil ich damit den Alkoholwert von 0,5 Promille nicht erreiche.
550	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Sie haben gestern ausgiebig gefeiert und viel Alkohol getrunken. Nach wenigen Stunden Schlaf sollten Sie heute als Berufskraftfahrer fahren. Welches Verhalten wäre richtig?		Ich achte besonders aufmerksam auf das eigenen Befinden und fahre nur dann, wenn ich keine Kopfschmerzen fühle		Ich nehme ein ausgiebiges Frühstück zu mir und fahre los, wenn ich mich gut fühle		Ich nehme aufputschende Medikamente ein und fahre vorsichtig los	X	Ich fahre nicht, weil noch lange Zeit die Gefahr einer Alkoholbeeinträchtigung in Form von Restalkohol besteht
551	15	3d Körperliche und geistige Fitness	C1.C1E.C.CE / D1.D1E.D.DE			Welche Auswirkungen hat Stress auf den Körper?		Man wird ruhig und konzentriert		Häufiger Stress macht den Körper widerstandsfähig	X	Blutdruck und Herzfrequenz steigen und es kann zur Verringerung der Informationsverarbeitung im Gehirn kommen		Unter Stress trifft man leichter die richtigen Entscheidungen
571	16	3e Verhalten in Notfällen	C1.C1E.C.CE / D1.D1E.D.DE			Sie wollen in Österreich die Polizei alarmieren. Welche Notrufnummer ist dafür zu wählen?		122	X	133 oder 112		144		166
572	16	3e Verhalten in Notfällen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lautet die einheitliche europäische Notfallnummer?	X	112		111		133		114
573	16	3e Verhalten in Notfällen	C1.C1E.C.CE / D1.D1E.D.DE			Ein hinter Ihnen fahrender Mopedfahrer fährt auf Ihr Fahrzeug auf. Dadurch verletzt er sich, will aber keine Verständigung der Polizei. Wie sollten Sie sich verhalten?	X	Ich leiste Erste Hilfe und verständige trotzdem sofort die Polizei		Ich verständige die Polizei nur dann, wenn sich der Mopedfahrer nicht ausweisen kann		Ich verständige in diesem Fall nur den nächsten Arzt		Es reicht aus, wenn ich Erste Hilfe leiste. Dann muss die Polizei nicht verständigt werden
574	16	3e Verhalten in Notfällen	C1.C1E.C.CE / D1.D1E.D.DE			Was kann zur besseren Verarbeitung eines Unfallerlebnisses beitragen?		Wenn ich starke Beruhigungsmittel einnehme, um sofort wieder fahren zu können		Wenn ich nicht mit anderen über das Unfallerlebnis spreche		Wenn ich auf den Schock Alkohol trinke	X	Wenn ich mir professionelle Hilfe hole, um das Unfallerlebnis aufzuarbeiten
591	17	3f Kundenorientiertes Verhalten	C1.C1E.C.CE / D1.D1E.D.DE			Hat Ihr Fahrverhalten Auswirkungen auf das Ansehen des Unternehmens, für das Sie fahren?		Nein, sicher nicht	X	Ja. Da Nutzfahrzeuge häufig Firmenaufschriften tragen, verbinden andere Verkehrsteilnehmer ein riskantes Fahrverhalten negativ mit meiner Firma		Nein. Die anderen Verkehrsteilnehmer verbinden mein Fahrverhalten nicht mit meiner Firma		Nein, solang mein Fahrzeug keine Firmenaufschrift trägt
592	17	3f Kundenorientiertes Verhalten	C1.C1E.C.CE / D1.D1E.D.DE			Warum sollten Sie im Fahrdienst auf den Zustand Ihrer Kleidung achten?	X	Saubere und unbeschädigte Kleidung bewirkt, dass Kunden ein positives Bild von mir und der Firma, für die ich fahre, gewinnen		Zerrissene Kleidung bewirkt, dass Kunden ein positives Bild von mir und der Firma, für die ich fahre, gewinnen		Schmutzige Kleidung bewirkt, dass Kunden ein positives Bild von mir und der Firma, für die ich fahre, gewinnen		Offensichtlich abgetragene Kleidung bewirkt, dass Kunden ein positives Bild von mir und der Firma, für die ich fahre, gewinnen
593	17	3f Kundenorientiertes Verhalten	C1.C1E.C.CE / D1.D1E.D.DE			Warum sollten Sie im Fahrdienst ruhig und besonnen mit Kunden sprechen?	X	Ruhiges sprechen bewirkt, dass Kunden ein positives Bild von mir und von der Firma, für die ich fahre, gewinnen		Ruhiges sprechen bewirkt, dass Kunden ein unvorteilhaftes Bild von mir gewinnen		Ruhiges sprechen bewirkt, dass Kunden ein negatives Bild von der Firma, für die ich fahre, gewinnen		Besonnenes sprechen bewirkt, dass Kunden ein negatives Bild von der Firma, für die ich fahre, gewinnen
594	17	3f Kundenorientiertes Verhalten	C1.C1E.C.CE / D1.D1E.D.DE			Warum sollten Sie im Fahrdienst höflich mit Kunden umgehen?	X	Höflicher Umgang bewirkt, dass Kunden ein positives Bild von mir und von der Firma, für die ich fahre, gewinnen		Höflicher Umgang bewirkt, dass Kunden ein unvorteilhaftes Bild von der Firma, für die ich fahre, gewinnen		Höflicher Umgang bewirkt, dass Kunden ein negatives Bild von mir gewinnen		Höflicher Umgang bewirkt, dass Kunden ein nur ein neutrales Bild von mir gewinnen
595	17	3f Kundenorientiertes Verhalten	C1.C1E.C.CE / D1.D1E.D.DE			Hat der technische Zustand ihres Fahrzeuges Auswirkungen auf das Ansehen des Unternehmens, für das Sie fahren?		Nein, sicher nicht	X	Ja. Da Nutzfahrzeuge häufig Firmenaufschriften tragen, verbinden Kunden einen schlechten technischen Zustand meines Fahrzeuges negativ mit meiner Firma		Ja. Da Nutzfahrzeuge häufig Firmenaufschriften tragen, verbinden Kunden einen schlechten technischen Zustand meines Fahrzeuges positiv mit meiner Firma		Nein, solang mein Fahrzeug keine Firmenaufschrift trägt
596	17	3f Kundenorientiertes Verhalten	C1.C1E.C.CE / D1.D1E.D.DE			Hat die Sauberkeit ihres Fahrzeuges Auswirkungen auf das Ansehen des Unternehmens, für das Sie fahren?		Nein, sicher nicht	X	Ja. Da Nutzfahrzeuge häufig Firmenaufschriften tragen, verbinden Kunden ein unsauberes Fahrzeug negativ mit meiner Firma		Ja. Da Nutzfahrzeuge häufig Firmenaufschriften tragen, verbinden Kunden ein unsauberes Fahrzeug positiv mit meiner Firma		Nein, solang mein Fahrzeug keine Firmenaufschrift trägt
621	18	3g Wirtschaftliches Umfeld - LKW	C1.C1E.C.CE			Sie fahren Im Werkverkehr. Wann benötigen Sie keinen Fahrerqualifizierungsnachweis?		Wenn der Werkverkehr nur innerhalb Österreichs stattfindet	X	Wenn nur Materialien befördert werden, die ich zur Berufsausübung benötige und das Lenken nicht die Haupttätigkeit darstellt		Wenn nur Materialen befördert werden, die im Eigentum des Gewerbeinhabers stehen		Wenn nur im Ortsgebiet gefahren wird
622	18	3g Wirtschaftliches Umfeld - LKW	C1.C1E.C.CE			Wann verliert der Fahrerqualifizierungsnachweis seine Gültigkeit?		Wenn die Lenkberechtigung entzogen worden ist		Wenn nicht alle 3 Jahren eine Weiterbildung erfolgt	X	Wenn nicht alle 5 Jahren eine Weiterbildung erfolgt		Wenn die Grundqualifikationsprüfung nicht alle 5 Jahre neu abgelegt wird
623	18	3g Wirtschaftliches Umfeld - LKW	C1.C1E.C.CE			Wie lang ist ein Fahrerqualifizierungsnachweis gültig?		3 Jahre		4 Jahre	X	5 Jahre		6 Jahre
624	18	3g Wirtschaftliches Umfeld - LKW	C1.C1E.C.CE			Wie ist die Dauer der Weiterbildung für die Verlängerung des Fahrerqualifizierungsnachweises geregelt?		Es müssen mindestens 35 Stunden innerhalb von 3 Jahren nachgewiesen werden	X	Es müssen mindestens 35 Stunden innerhalb von 5 Jahren nachgewiesen werden		Es dürfen höchstens 25 Stunden innerhalb von 2 Jahren nachgewiesen werden		Es dürfen höchstens 30 Stunden innerhalb von 4 Jahren nachgewiesen werden
625	18	3g Wirtschaftliches Umfeld - LKW	C1.C1E.C.CE			Wo kann in Österreich eine rechtsgültige Weiterbildung für die Verlängerung des Fahrerqualifizierungsnachweises absolviert werden?	X	Bei einer ermächtigten Ausbildungsstätte		Bei jeder Person, die in ihrem Führerschein den Code "95" eingetragen hat		Bei jedem Güterbeförderungsunternehmen, das mehr als 5 LKW betreibt		Bei jeder Ausbildungsstätte, die Stapler- und Krankurse anbieten darf
626	18	3g Wirtschaftliches Umfeld - LKW	C1.C1E.C.CE			Für welche Transporte sind neben dem Fahrerqualifizierungsnachweis Zusatzqualifikationen notwendig?	X	Gefahrguttransporte sowie Transporte von Lebendtieren auf Langstrecken		Schwerlasttransporte		Temperaturgeführte Transporte		Autotransporte
651	19	3h Wirtschaftliches Umfeld - BUS	D1.D1E.D.DE			Welche Funktionen übernimmt ein Reiseleiter bei einer Busfahrt?	X	Er informiert die Reisegäste über den Ablauf der Reise und über die täglichen Reiseziele		Er hat in erster Linie die Aufgabe, die Fahrerin bzw. den Fahrer beim Lenken des Omnibusses zu unterstützen		Er kümmert sich darum, dass das Reisegepäck im Bus sicher verstaut ist		Er kümmert sich darum, dass die Fahrerin bzw. den Fahrer beim Lenken des Omnibusses nicht ermüden
652	19	3h Wirtschaftliches Umfeld - BUS	D1.D1E.D.DE			Sie befördern mit einem Omnibus eine Gruppe von Personen im Gelegenheitsverkehr von Wien nach Salzburg. Welche Dokumente müssen Sie als Lenker dabei mitführen?		Identitätsnachweise für alle mitfahrenden Personen		Ein Fahrtenblatt aus dem EU-Fahrtenheft	X	Die Zulassungsbescheinigung des Omnibusses		Eine Abschrift der Konzessionsurkunde des Unternehmens
653	19	3h Wirtschaftliches Umfeld - BUS	D1.D1E.D.DE			Der Fahrerqualifizierungsnachweis verliert seine Gültigkeit, wenn...		die Lenkerberechtigung entzogen wird		innerhalb von 3 Jahren keine Weiterbildung erfolgt	X	innerhalb von 5 Jahren keine Weiterbildung erfolgt		die Grundqualifikationsprüfung nicht alle 5 Jahre wiederholt wird
654	19	3h Wirtschaftliches Umfeld - BUS	D1.D1E.D.DE			Wie lang ist ein Fahrerqualifizierungsnachweis gültig?		3 Jahre		4 Jahre	X	5 Jahre		6 Jahre
655	19	3h Wirtschaftliches Umfeld - BUS	D1.D1E.D.DE			Wie ist die Dauer der Weiterbildung für die Verlängerung des Fahrerqualifizierungsnachweises geregelt?		Es müssen mindestens 35 Stunden innerhalb von 3 Jahren nachgewiesen werden	X	Es müssen mindestens 35 Stunden innerhalb von 5 Jahren nachgewiesen werden		Es dürfen höchstens 25 Stunden innerhalb von 2 Jahren nachgewiesen werden		Es dürfen höchstens 30 Stunden innerhalb von 4 Jahren nachgewiesen werden
656	19	3h Wirtschaftliches Umfeld - BUS	D1.D1E.D.DE			Wo kann in Österreich eine rechtsgültige Weiterbildung für die Verlängerung des Fahrerqualifizierungsnachweises absolviert werden?	X	Bei einer ermächtigten Ausbildungsstätte		Bei jeder Person, die in ihrem Führerschein den Code "95" eingetragen hat		Bei jedem Omnibusunternehmen, das mehr als 5 Omnibusse betreibt		Bei jeder Ausbildungsstätte, die Stapler- und Krankurse anbieten darf
700	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie wollen ein Fahrzeug mit digitalem Kontrollgerät lenken. Wie sollten Sie sich bei Fahrtende verhalten, wenn Ihre Fahrerkarte defekt geworden oder verloren gegangen ist?	X	Ich fertige einen Tagesausdruck an. Dieser Ausdruck ist mit meinem Namen und der Nummer des Führerscheins oder Nummer der Fahrerkarte sowie meiner Unterschrift zu versehen. Sollten Tätigkeiten auf dem Ausdruck nicht aufscheinen, vermerke ich diese auf dem Ausdruck		Ich muss sämtliche Daten aus dem Kontrollgerät auslesen		Ich vermerke das Fahrtende in einer Notiz auf meinem Mobiltelefon		Ich fotografiere den im Display angezeigten Kilometerstand
701	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Ihre Fahrerkarte ist defekt geworden oder verloren gegangen. Innerhalb welcher Frist müssen Sie eine Ersatzkarte beantragen?		Spätestens drei Tage nach dem Defekt oder Verlust der Fahrerkarte	X	Spätestens sieben Tage nach dem Defekt oder Verlust der Fahrerkarte		Spätestens 14 Tage nach dem Defekt oder Verlust der Fahrerkarte		Spätestens bei der Rückkunft zum Betriebsstandort
702	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Tätigkeiten fallen unter den Begriff "Bereitschaftszeit"?	X	Wenn ich das Fahrzeug auf einer Fähre oder einem Zug begleite. Dabei darf ich den Arbeitsplatz verlassen. Diese Zeiten und ihre voraussichtliche Dauer müssen mir vorab bekannt sein		Nur solche, bei denen ich das Fahrzeug belade		Wenn ich am Fahrzeug einen Radwechsel vornehme		Nur solche, bei denen ich das Fahrzeug entlade
703	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Tätigkeiten fallen unter den Begriff "Bereitschaftszeit"?	X	Wenn ich das Fahrzeug wegen eines Fahrverbotes abstellen muss. Dabei darf ich den Arbeitsplatz verlassen. Diese Zeiten und ihre voraussichtliche Dauer müssen mir vorab bekannt sein		Nur solche, bei denen ich das Fahrzeug belade		Wenn ich am Fahrzeug einen Radwechsel vornehme		Nur solche, bei denen ich das Fahrzeug entlade
704	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Welche Standortdaten zeichnet das Kontrollgerät Smart Tacho 2 (GEN 2 V 2)  automatisch auf?	X	Die Geodaten zu Beginn und am Ende der täglichen Arbeitszeit bzw. nach jeweils drei Stunden Lenkzeit, beim erstmaligen Einsteigen der Fahrgäste am Beginn und das letztmalige Aussteigen am Ende einer Rundfahrt, bei jeder Überschreitung einer Grenze zu einem Mitgliedsstaat der EU		Den Standort nach jeweils viereinhalb Stunden Lenkzeit		Den vollständigen Fahrtverlauf		Den Standort einer Lenkpause
